《1807-0000》,# カンマ区切りテキスト形式です。
《1807-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1807-0020》,# ・表の区画内での改行は“/”で表記します。
《1807-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1807-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1807-0050》,# 外部リンク
《1807-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/11 ～ 15
《1807-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1807g　(GitHub上データを表成型)
《1807-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1807h　(翻刻編集データを表成型 - 未実装)
《1807-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1807-0100》,《版元》,出版地○○,出版元□□□,　
《1807-0110》,《暦首》,文化四年ひのとのう乃寛政暦,亢宿/値年,凡三百五十五日
《1807-0120》,《大歳》,大さいうの方,此方ニむかひて万よし/但木をきらす
《1807-0130》,《大將軍》,大しやうくんねの方,たつのとしまて/三年ふさかり
《1807-0140》,《大陰》,大おんうしの方,此方ニむかひて/さんをせす
《1807-0150》,《歳徳》,　,としとくあきの方/いねの間万よし,とらう/,金神,/いぬい
《1807-0160》,《歳刑》,さいけうねの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1807-0170》,《歳破》,さいはとりの方,むかひてわたましせす/ふねのりはしめす,正月大,二月大,三月大
《1807-0180》,《歳煞》,さいせついぬの方,此方より/よめとらす,四月小,五月大,六月小
《1807-0190》,《黄幡》,わうはんひつしの方,むかひて/弓はしめよし,七月小,八月大,九月小
《1807-0200》,《豹尾》,へうひうしの方,むかひて大小へんせす/ちくるいもとめす,十月小,十一月大,十二月大
《1807-0210》,《月序》,正月,大,建,壬寅,心宿値月女宿土曜値朔日
《1807-0590》,《暦日0》,五／,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
《1807-0600》,《暦日2》,六／,つちのえとら,とつ,土,　,天しや よろつよし
《1807-0610》,《暦日0》,七／,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく 金性の人うけニ入
《1807-0620》,《暦日2》,八／,かのえたつ,のそく,金,　,●
《1807-0630》,《暦日0》,九／,かのとのみ,みつ,,　,十し
《1807-0640》,《暦日2》,十／,みつのえむま,たいら,木,ひかんニなる,神よし 大みやう 天おん 大くわ 地火
《1807-0650》,《暦日0》,十一／,みつのとのひつし,さたん,,　,天おん ちいみ
《1807-0660》,《暦日2》,十二／,きのえさる,とる,水,十方くれニ入,神よし きしく 大みやう 月とく  入学よし
《1807-0670》,《暦日0》,十三／,きのとのとり,やふる,,　,ふく日 わうまう
《1807-0680》,《暦日2》,十四／,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
《1807-0690》,《暦日0》,十五／,ひのとのい,なる,,　,大みやう 母倉 ちう日
《1807-0700》,《節中》,春分二月中いぬの五刻日の出より日入まて,昼五十刻余/夜四十九刻半余,六より六まて,昼五十五刻余/夜四十四刻半余
《1807-0710》,《暦日2》,十六／,つちのえね,おさん,火,社日,母倉 めつもん  けんふく たねかしよし
《1807-0720》,《暦日0》,十七／,つちのとのうし,ひらく,,　,月とく  井ほり  つめとりよし
《1807-0730》,《暦日2》,十八／,かのえとら,とつ,木,　,きこ  つめとりよし
《1807-0740》,《暦日0》,十九／,かのとのう,たつ,,　,ふく日 天火 らうしやく
《1807-0750》,《暦日2》,廿／,みつのえたつ,のそく,水,　,●
《1807-0760》,《暦日0》,廿一／,みつのとのみ,みつ,,天一天上,十し
《1807-0770》,《暦日2》,廿二／,きのえむま,たいら,金,　,神よし 月とく 大くわ 地火
《1807-0780》,《暦日0》,廿三／,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
《1807-0790》,《暦日2》,廿四／,ひのえさる,とる,火,　,神よし
《1807-0800》,《暦日0》,廿五／,ひのとのとり,やふる,,　, あさまき たねかしよし
《1807-0810》,《暦日2》,廿六／,つちのえいぬ,あやふ,木,　, かといてよし
《1807-0820》,《暦日0》,廿七／,つちのとのい,なる,,　,神よし 母倉 月とく ちう日  みそすつくりよし
《1807-0830》,《暦日2》,廿八／,かのえね,おさん,土,　,神よし 母倉 めつもん  よめとり たねかしよし
《1807-0840》,《暦日0》,廿九／,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
《1807-0850》,《暦日1》,卅／,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
《1807-0860》,《月序》,三月,大,建,甲辰,箕宿　壁　水よう
《1807-0870》,《暦日1》,一／,みつのとのう,とつ,金,　,神よし  けんふく かといてよし
《1807-0880》,《節中》,清明三月せつ今暁うしの二刻ニ入日の出より日入まて,昼五十二刻半/夜四十七刻半,六より六まて,昼五十七刻半余/夜四十二刻余
《1807-0890》,《暦日2》,二／,きのえたつ,たつ,火,　,大みやう くゑ日
《1807-0900》,《暦日0》,三／,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
《1807-0910》,《暦日2》,四／,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
《1807-0920》,《暦日0》,五／,ひのとのひつし,たいら,,　,神よし 月とく めつもん 地火
《1807-0930》,《暦日2》,六／,つちのえさる,さたん,土,　,くゑ日 ふく日
《1807-0940》,《暦日0》,七／,つちのとのとり,とる,,　,神よし 大みやう 天おん ふく日
《1807-0950》,《暦日2》,八／,かのえいぬ,やふる,金,　,大みやう 天おん
《1807-0960》,《暦日0》,九／,かのとのい,あやふ,,　,●
《1807-0970》,《暦日2》,十／,みつのえね,なる,木,八せんのはしめ,神よし きしく 天おん 母倉 月とく きこ
《1807-0980》,《暦日0》,十一／,みつのとのうし,おさん,,ま日,十し
《1807-0990》,《暦日2》,十二／,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
《1807-1000》,《暦日0》,十三／,きのとのう,とつ,,とよううの三刻ニ入,神よし  ものたちよし
《1807-1010》,《暦日2》,十四／,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
《1807-1020》,《暦日0》,十五／,ひのとのみ,のそく,,　,母倉 月とく ちう日  いちたちよし
《1807-1030》,《暦日1》,十六／,つちのえむま,みつ,火,ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
《1807-1040》,《節中》,穀雨三月中うの七刻日の出より日入まて,昼五十四刻半余/夜四十五刻余,六より六まて,昼六十刻/夜四十刻
《1807-1050》,《暦日1》,十七／,つちのとのひつし,たいら,火,　,神よし 大みやう ふく日 めつもん 地火
《1807-1060》,《暦日2》,十八／,かのえさる,さたん,木,　,大みやう くゑ日
《1807-1070》,《暦日0》,十九／,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
《1807-1080》,《暦日2》,廿／,みつのえいぬ,やふる,水,ま日,月とく
《1807-1090》,《暦日0》,廿一／,みつのとのい,あやふ,,八せんのおはり,●
《1807-1100》,《暦日2》,廿二／,きのえね,なる,金,　,くゑ日 きこ
《1807-1110》,《暦日0》,廿三／,きのとのうし,おさん,,　,十し
《1807-1120》,《暦日2》,廿四／,ひのえとら,ひらく,火,　,くゑ日 ちいみ
《1807-1130》,《暦日0》,廿五／,ひのとのう,とつ,,　,くゑ日  たねまきよし
《1807-1140》,《暦日2》,廿六／,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
《1807-1150》,《暦日0》,廿七／,つちのとのみ,のそく,,八十八や,神よし 母倉 ちう日 ふく日  かといてよし
《1807-1160》,《暦日2》,廿八／,かのえむま,みつ,土,　,神よし 母倉 天火 らうしやく  みそすつくりよし
《1807-1170》,《暦日0》,廿九／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《1807-1180》,《暦日1》,卅／,みつのえさる,さたん,金,　,大みやう くゑ日
《1807-1190》,《月序》,四月,小,建,乙巳,斗宿　婁　金よう
《1807-1200》,《暦日1》,一／,みつのとのとり,さたん,金,　,十し
《1807-1210》,《節中》,立夏四月せつむまの四刻ニ入日の出より日入まて,昼五十六刻半余/夜四十三刻余,六より六まて,昼六十二刻余/夜三十七刻半余
《1807-1220》,《暦日2》,二／,きのえいぬ,とる,火,　, やたて くらたてよし
《1807-1230》,《暦日0》,三／,きのとのい,やふる,,　,月とく ちう日
《1807-1240》,《暦日2》,四／,ひのえね,あやふ,水,　,ふく日  さひらきよし
《1807-1250》,《暦日0》,五／,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
《1807-1260》,《暦日2》,六／,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
《1807-1270》,《暦日0》,七／,つちのとのう,ひらく,,　,神よし 大みやう 天おん 母倉  入学よし
《1807-1280》,《暦日2》,八／,かのえたつ,とつ,金,　,きしく 天おん 月とく わうまう  けんふくよし
《1807-1290》,《暦日0》,九／,かのとのみ,たつ,,　,●
《1807-1300》,《暦日2》,十／,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
《1807-1310》,《暦日0》,十一／,みつのとのひつし,みつ,,　,くゑ日
《1807-1320》,《暦日2》,十二／,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
《1807-1330》,《暦日0》,十三／,きのとのとり,さたん,,　,十し
《1807-1340》,《暦日1》,十四／,ひのえいぬ,とる,土,　,五む日 ふく日
《1807-1350》,《食記》,月蝕一分
《1807-1360》,《暦日1》,十五／,ひのとのい,やふる,土,　,大みやう ちう日
《1807-1370》,《暦日1》,十六／,つちのえね,あやふ,火,　, けんふくよし
《1807-1380》,《節中》,小満四月中とりの一刻日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1807-1390》,《暦日1》,十七／,つちのとのうし,なる,火,　,きこ  つめとりよし
《1807-1400》,《暦日2》,十八／,かのえとら,おさん,木,　,母倉 月とく めつもん  さひらき  つめとりよし
《1807-1410》,《暦日0》,十九／,かのとのう,ひらく,,　,神よし 母倉  やたて ものたちよし
《1807-1420》,《暦日2》,廿／,みつのえたつ,とつ,水,　,さい下しき 大みやう 五む日 ふく日
《1807-1430》,《暦日0》,廿一／,みつのとのみ,たつ,,天一天上,●
《1807-1440》,《暦日2》,廿二／,きのえむま,のそく,金,　,天しや よろつよし
《1807-1450》,《暦日0》,廿三／,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
《1807-1460》,《暦日2》,廿四／,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
《1807-1470》,《暦日0》,廿五／,ひのとのとり,さたん,,　,十し
《1807-1480》,《暦日2》,廿六／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1807-1490》,《暦日0》,廿七／,つちのとのい,やふる,,　,くゑ日 ちう日
《1807-1500》,《暦日2》,廿八／,かのえね,あやふ,土,　,神よし 月とく  わたまし たねまきよし
《1807-1510》,《暦日0》,廿九／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1807-1520》,《月序》,五月,大,建,丙午,牛宿　胃　土よう
《1807-1530》,《暦日2》,一／,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
《1807-1540》,《暦日0》,二／,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日
《1807-1550》,《節中》,芒種五月せついの六刻ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1807-1560》,《暦日2》,三／,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
《1807-1570》,《暦日0》,四／,きのとのみ,とつ,,　,十し
《1807-1580》,《暦日2》,五／,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
《1807-1590》,《暦日0》,六／,ひのとのひつし,のそく,,　,神よし ふく日
《1807-1600》,《暦日2》,七／,つちのえさる,みつ,土,　,神よし きしく  入学よし
《1807-1610》,《暦日0》,八／,つちのとのとり,たいら,,　,神よし 大みやう 天おん めつもん 地火
《1807-1620》,《暦日2》,九／,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
《1807-1630》,《暦日0》,十／,かのとのい,とる,,　,神よし 大みやう 天おん 月とく ちう日  入学よし
《1807-1640》,《暦日2》,十一／,みつのえね,やふる,木,入梅/八せんのはしめ,●
《1807-1650》,《暦日0》,十二／,みつのとのうし,あやふ,,ま日,神よし 天おん ふく日  むきかり  つめとりよし
《1807-1660》,《暦日2》,十三／,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
《1807-1670》,《暦日0》,十四／,きのとのう,おさん,,　,母倉 ちいみ 大くわ  ものたちよし
《1807-1680》,《暦日2》,十五／,ひのえたつ,ひらく,土,ま日,大みやう 月とく  けんふく いちたちよし
《1807-1690》,《暦日0》,十六／,ひのとのみ,とつ,,　,十し
《1807-1700》,《暦日2》,十七／,つちのえむま,たつ,火,ま日,くゑ日 わうまう 下しきうの時
《1807-1710》,《暦日0》,十八／,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
《1807-1720》,《節中》,夏至五月中今暁とらの三刻日の出より日入まて,昼五十九刻半余/夜四十刻余,六より六まて,昼六十五刻半余/夜三十四刻余
《1807-1730》,《暦日2》,十九／,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
《1807-1740》,《暦日0》,廿／,かのとのとり,たいら,,　,神よし 大みやう 月とく めつもん 地火
《1807-1750》,《暦日2》,廿一／,みつのえいぬ,さたん,水,ま日, むきかりよし
《1807-1760》,《暦日0》,廿二／,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
《1807-1770》,《暦日2》,廿三／,きのえね,やふる,金,　,●
《1807-1780》,《暦日0》,廿四／,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
《1807-1790》,《暦日2》,廿五／,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
《1807-1800》,《暦日0》,廿六／,ひのとのう,おさん,,　,天おん 母倉 ちいみ 大くわ ふく日
《1807-1810》,《暦日2》,廿七／,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
《1807-1820》,《暦日0》,廿八／,つちのとのみ,とつ,,はんけしやう,十し
《1807-1830》,《暦日2》,廿九／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1807-1840》,《暦日0》,卅／,かのとのひつし,のそく,,　,大みやう 月とく  ふねのり 井ほりよし
《1807-1850》,《月序》,六月,小,建,丁未,女宿　畢　月よう
《1807-1860》,《暦日2》,一／,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
《1807-1870》,《暦日0》,二／,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1807-1880》,《暦日1》,三／,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
《1807-1890》,《節中》,小暑六月せつたつの八刻ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1807-1900》,《暦日1》,四／,きのとのい,さたん,火,　,ちう日
《1807-1910》,《暦日2》,五／,ひのえね,とる,水,　,きしく きこ 下しきたつの時
《1807-1920》,《暦日0》,六／,ひのとのうし,やふる,,　,十し
《1807-1930》,《暦日2》,七／,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
《1807-1940》,《暦日0》,八／,つちのとのう,なる,,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
《1807-1950》,《暦日2》,九／,かのえたつ,おさん,金,初伏,天おん めつもん  けんふくよし
《1807-1960》,《暦日0》,十／,かのとのみ,ひらく,,　,天おん 母倉 ちう日  ものたちよし
《1807-1970》,《暦日2》,十一／,みつのえむま,とつ,木,　,●
《1807-1980》,《暦日0》,十二／,みつのとのひつし,たつ,,　,天おん  たねまきよし
《1807-1990》,《暦日2》,十三／,きのえさる,のそく,水,十方くれニ入,神よし 大みやう 月とく
《1807-2000》,《暦日0》,十四／,きのとのとり,みつ,,　,神よし ちいみ
《1807-2010》,《暦日2》,十五／,ひのえいぬ,たいら,土,とようひつしの初刻ニ入,五む日 大くわ 地火
《1807-2020》,《暦日0》,十六／,ひのとのい,さたん,,　,大みやう ちう日
《1807-2030》,《暦日2》,十七／,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
《1807-2040》,《暦日0》,十八／,つちのとのうし,やふる,,　,十し
《1807-2050》,《節中》,大暑六月中ひつしの五刻日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1807-2060》,《暦日2》,十九／,かのえとら,あやふ,木,中伏,母倉  やたて  つめとりよし
《1807-2070》,《暦日0》,廿／,かのとのう,なる,,　,神よし 母倉 天火 らうしやく
《1807-2080》,《暦日2》,廿一／,みつのえたつ,おさん,水,　,さい下しき 大みやう 五む日 めつもん
《1807-2090》,《暦日0》,廿二／,みつのとのみ,ひらく,,天一天上,母倉 ちう日  いちたちよし
《1807-2100》,《暦日2》,廿三／,きのえむま,とつ,金,　,●
《1807-2110》,《暦日0》,廿四／,きのとのひつし,たつ,,　,大みやう 五む日
《1807-2120》,《暦日2》,廿五／,ひのえさる,のそく,火,　,神よし
《1807-2130》,《暦日0》,廿六／,ひのとのとり,みつ,,　,ちいみ わうまう  くさかりよし
《1807-2140》,《暦日2》,廿七／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《1807-2150》,《暦日0》,廿八／,つちのとのい,さたん,,　,月とく ちう日 ふく日  ふねのりよし
《1807-2160》,《暦日1》,廿九／,かのえね,とる,土,　,きこ 下しきたつの時
《1807-2170》,《月序》,七月,小,建,戊申,虛宿　觜　火よう
《1807-2180》,《暦日1》,一／,かのとのうし,やふる,土,　,十し
《1807-2190》,《暦日2》,二／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《1807-2200》,《暦日0》,三／,みつのとのう,なる,,　,神よし 天火 らうしやく
《1807-2210》,《暦日1》,四／,きのえたつ,なる,火,　,きしく 大みやう くゑ日 ちいみ ふく日
《1807-2220》,《節中》,立秋七月せついぬの二刻ニ入日の出より日入まて,昼五十六刻半余/夜四十三刻余,六より六まて,昼六十二刻余/夜三十七刻半余
《1807-2230》,《暦日1》,五／,きのとのみ,おさん,火,　,神よし 大みやう 大くわ ちう日  けんふくよし
《1807-2240》,《暦日2》,六／,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
《1807-2250》,《暦日0》,七／,ひのとのひつし,とつ,,　,神よし 母倉 月とく  いちたちよし
《1807-2260》,《暦日2》,八／,つちのえさる,たつ,土,　,天しや よろつよし
《1807-2270》,《暦日0》,九／,つちのとのとり,のそく,,　,十し
《1807-2280》,《暦日2》,十／,かのえいぬ,みつ,金,末伏,大みやう 天おん 母倉 ふく日
《1807-2290》,《暦日0》,十一／,かのとのい,たいら,,　,神よし 大みやう 天おん ちう日 めつもん 地火
《1807-2300》,《暦日2》,十二／,みつのえね,さたん,木,八せんのはしめ,天おん 月とく わうまう  くらたてよし
《1807-2310》,《暦日0》,十三／,みつのとのうし,とる,,ま日,●
《1807-2320》,《暦日2》,十四／,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
《1807-2330》,《暦日0》,十五／,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
《1807-2340》,《暦日2》,十六／,ひのえたつ,なる,土,ま日,大みやう 母倉 ちいみ  くさかりよし
《1807-2350》,《暦日0》,十七／,ひのとのみ,おさん,,　,月とく 大くわ ちう日  ものたちよし
《1807-2360》,《暦日2》,十八／,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
《1807-2370》,《暦日0》,十九／,つちのとのひつし,とつ,,　,神よし 大みやう 母倉  みそすつくりよし
《1807-2380》,《暦日1》,廿／,かのえさる,たつ,木,　,大みやう くゑ日 ふく日 下しきみの時
《1807-2390》,《節中》,処暑七月中今暁ねの七刻日の出より日入まて,昼五十四刻半余/夜四十五刻余,六より六まて,昼六十刻/夜四十刻
《1807-2400》,《暦日1》,廿一／,かのとのとり,のそく,木,　,十し
《1807-2410》,《暦日2》,廿二／,みつのえいぬ,みつ,水,ま日,母倉 月とく
《1807-2420》,《暦日0》,廿三／,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
《1807-2430》,《暦日2》,廿四／,きのえね,さたん,金,　,天おん ふく日  ふねのりよし
《1807-2440》,《暦日0》,廿五／,きのとのうし,とる,,　,●
《1807-2450》,《暦日2》,廿六／,ひのえとら,やふる,火,　,天おん  けんふく  つめとりよし
《1807-2460》,《暦日0》,廿七／,ひのとのう,あやふ,,　,神よし 天おん 月とく  わたましよし
《1807-2470》,《暦日2》,廿八／,つちのえたつ,なる,木,　,天おん 母倉 五む日 ちいみ  いちたちよし
《1807-2480》,《暦日0》,廿九／,つちのとのみ,おさん,,　,神よし 大くわ ちう日
《1807-2490》,《月序》,八月,大,建,己酉,危宿　參　水よう
《1807-2500》,《暦日2》,一／,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
《1807-2510》,《暦日0》,二／,かのとのひつし,とつ,,二百十日,大みやう 母倉  ものたちよし
《1807-2520》,《暦日2》,三／,みつのえさる,たつ,金,　,神よし きしく 大みやう 月とく 下しきみの時
《1807-2530》,《暦日0》,四／,みつのとのとり,のそく,,　,十し
《1807-2540》,《暦日2》,五／,きのえいぬ,みつ,火,　,母倉 ふく日  くらたてよし
《1807-2550》,《暦日0》,六／,きのとのい,みつ,,　,月とく ちう日 ふく日  入学よし
《1807-2560》,《節中》,白露八月せつうの四刻ニ入日の出より日入まて,昼五十二刻半/夜四十七刻半,六より六まて,昼五十七刻半余/夜四十二刻余
《1807-2570》,《暦日2》,七／,ひのえね,たいら,水,　,大くわ 地火
《1807-2580》,《暦日0》,八／,ひのとのうし,さたん,,　,神よし 大みやう 母倉  ものたち  つめとりよし
《1807-2590》,《暦日2》,九／,つちのえとら,とる,土,　,きこ  田かり  つめとりよし
《1807-2600》,《暦日0》,十／,つちのとのう,やふる,,　,大みやう 天おん
