《1732-0000》,# カンマ区切りテキスト形式です。
《1732-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1732-0020》,# ・表の区画内での改行は“/”で表記します。
《1732-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1732-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1732-0050》,# 外部リンク
《1732-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/138 ～ 144
《1732-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1732g　(GitHub上データを表成型)
《1732-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1732h　(翻刻編集データを表成型 - 未実装)
《1732-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1732-0100》,《版元》,出版地○○,出版元□□□,　
《1732-0110》,《暦首》,享保十七年みつのえね乃貞享暦,虛宿/値年,凡三百八十四日
《1732-0120》,《大歳》,大さいねの方,此方ニむかひて万よし/但木をきらす
《1732-0130》,《大將軍》,大しやうくんとりの方,うしのとしまて/三年ふさかり
《1732-0140》,《大陰》,大おんいぬの方,此方ニむかひて/さんをせす
《1732-0150》,《歳徳》,　,としとくあきの方/いねの間万よし,とらう/,金神,/いぬい
《1732-0160》,《歳刑》,さいけううの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1732-0170》,《歳破》,さいはむまの方,むかひてわたましせす/ふねのりはしめす,正月大,二月小,三月大
《1732-0180》,《歳煞》,さいせつひつしの方,此方より/よめとらす,四月小,五月小/閏五月大,六月小
《1732-0190》,《黄幡》,わうはんたつの方,むかひて/弓はしめよし,七月大,八月大,九月大
《1732-0200》,《豹尾》,へうひいぬの方,むかひて大小へんせす/ちくるいもとめす,十月小,十一月大,十二月小
《1732-0210》,《月序》,正月,大,建,壬寅,角宿値月昴宿日曜値朔日
《1732-0860》,《月序》,三月,大,建,甲辰,氐宿　參　水よう
《1732-0870》,《暦日2》,一／,つちのえむま,たいら,火,ま日/社日,神よし 大くわ 地火
《1732-0880》,《暦日0》,二／,つちのとのひつし,さたん,,　,神よし 大みやう ちいみ  たねかしよし
《1732-0890》,《暦日2》,三／,かのえさる,とる,木,　,神よし きしく 大みやう
《1732-0900》,《暦日0》,四／,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
《1732-0910》,《暦日2》,五／,みつのえいぬ,あやふ,水,ま日, あさまきよし
《1732-0920》,《暦日0》,六／,みつのとのい,なる,,八せんのおはり,ちう日  たねかしよし
《1732-0930》,《暦日2》,七／,きのえね,おさん,金,　,めつもん
《1732-0940》,《暦日0》,八／,きのとのうし,ひらく,,　,ふく日  ものたち  つめとりよし
《1732-0950》,《暦日2》,九／,ひのえとら,とつ,火,　,きこ  つめとりよし
《1732-0960》,《暦日0》,十／,ひのとのう,たつ,,　,天火 らうしやく
《1732-0970》,《暦日2》,十一／,つちのえたつ,のそく,木,　,●
《1732-0980》,《暦日0》,十二／,つちのとのみ,のそく,,　,神よし ちう日 ふく日  かといてよし
《1732-0990》,《節中》,清明三月せついぬの二刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《1732-1000》,《暦日2》,十三／,かのえむま,みつ,土,　,神よし 天火 らうしやく  みそすつくりよし
《1732-1010》,《暦日0》,十四／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《1732-1020》,《暦日2》,十五／,みつのえさる,さたん,金,　,大みやう くゑ日
《1732-1030》,《暦日0》,十六／,みつのとのとり,とる,,　,神よし 大みやう
《1732-1040》,《暦日2》,十七／,きのえいぬ,やふる,火,　, くさかりよし
《1732-1050》,《暦日0》,十八／,きのとのい,あやふ,,　,●
《1732-1060》,《暦日2》,十九／,ひのえね,なる,水,　,きこ
《1732-1070》,《暦日0》,廿／,ひのとのうし,おさん,,　,十し
《1732-1080》,《暦日2》,廿一／,つちのえとら,ひらく,土,　,天しや よろつよし
《1732-1090》,《暦日0》,廿二／,つちのとのう,とつ,,　,神よし 大みやう ふく日
《1732-1100》,《暦日2》,廿三／,かのえたつ,たつ,金,　,くゑ日
《1732-1110》,《暦日0》,廿四／,かのとのみ,のそく,,とよう夜ねの三刻ニ入,ちう日
《1732-1120》,《暦日2》,廿五／,みつのえむま,みつ,木,　,神よし 大みやう 天火 らうしやく
《1732-1130》,《暦日0》,廿六／,みつのとのひつし,たいら,,　,めつもん 地火
《1732-1140》,《暦日2》,廿七／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
《1732-1150》,《暦日0》,廿八／,きのとのとり,とる,,　,神よし  くさかりよし
《1732-1160》,《節中》,穀雨三月中ねの七刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1732-1170》,《暦日2》,廿九／,ひのえいぬ,やふる,土,　,五む日
《1732-1180》,《暦日0》,卅／,ひのとのい,あやふ,,　,●
《1732-1190》,《月序》,四月,小,建,乙巳,房宿　鬼　金よう
《1732-1200》,《暦日2》,一／,つちのえね,なる,火,　,きしく きこ ふく日
《1732-1210》,《暦日0》,二／,つちのとのうし,おさん,,　,十し
《1732-1220》,《暦日2》,三／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《1732-1230》,《暦日0》,四／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
《1732-1240》,《暦日2》,五／,みつのえたつ,たつ,水,　,大みやう 五む日
《1732-1250》,《暦日0》,六／,みつのとのみ,のそく,,天一天上,ちう日  けんふくよし
《1732-1260》,《暦日2》,七／,きのえむま,みつ,金,　,神よし 天火 らうしやく  ふねのりよし
《1732-1270》,《暦日0》,八／,きのとのひつし,たいら,,八十八や,大みやう 五む日 めつもん 地火  ものたちよし
《1732-1280》,《暦日2》,九／,ひのえさる,さたん,火,　,くゑ日
《1732-1290》,《暦日0》,十／,ひのとのとり,とる,,　,神よし  いちたちよし
《1732-1300》,《暦日2》,十一／,つちのえいぬ,やふる,木,　,ふく日
《1732-1310》,《暦日0》,十二／,つちのとのい,あやふ,,　,●
《1732-1320》,《暦日1》,十三／,かのえね,あやふ,土,　,神よし  わたまし たねまきよし
《1732-1330》,《節中》,立夏四月せつうの四刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1732-1340》,《暦日1》,十四／,かのとのうし,なる,土,　,五む日 きこ  つめとりよし
《1732-1350》,《暦日2》,十五／,みつのえとら,おさん,金,　,大みやう ふく日 めつもん  つめとりよし
《1732-1360》,《暦日0》,十六／,みつのとのう,ひらく,,　,神よし  かといて さひらきよし
《1732-1370》,《暦日2》,十七／,きのえたつ,とつ,火,　,大みやう
《1732-1380》,《暦日0》,十八／,きのとのみ,たつ,,　,●
《1732-1390》,《暦日2》,十九／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1732-1400》,《暦日0》,廿／,ひのとのひつし,みつ,,　,くゑ日 わうまう
《1732-1410》,《暦日2》,廿一／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1732-1420》,《暦日0》,廿二／,つちのとのとり,さたん,,　,十し
《1732-1430》,《暦日2》,廿三／,かのえいぬ,とる,金,　,大みやう  やたて くさかりよし
《1732-1440》,《暦日0》,廿四／,かのとのい,やふる,,　,神よし 大みやう ちう日  さひらきよし
《1732-1450》,《暦日2》,廿五／,みつのえね,あやふ,木,八せんのはしめ,神よし ふく日  くらたてよし
《1732-1460》,《暦日0》,廿六／,みつのとのうし,なる,,ま日,きこ  つめとりよし
《1732-1470》,《暦日2》,廿七／,きのえとら,おさん,水,　,めつもん  つめとりよし
《1732-1480》,《暦日0》,廿八／,きのとのう,ひらく,,　,神よし  さひらきよし
《1732-1490》,《節中》,小満四月中むまの一刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1732-1500》,《暦日1》,廿九／,ひのえたつ,とつ,土,ま日,きしく 大みやう ふく日
《1732-1510》,《月序》,五月,小,建,丙午,心宿　柳　土よう
《1732-1520》,《暦日1》,一／,ひのとのみ,たつ,土,　,●
《1732-1530》,《暦日2》,二／,つちのえむま,のそく,火,ま日,くゑ日
《1732-1540》,《暦日0》,三／,つちのとのひつし,みつ,,　,大みやう くゑ日
《1732-1550》,《暦日2》,四／,かのえさる,たいら,木,　,神よし 大みやう ちいみ 大くわ 地火
《1732-1560》,《暦日0》,五／,かのとのとり,さたん,,　,十し
《1732-1570》,《暦日2》,六／,みつのえいぬ,とる,水,ま日,ふく日
《1732-1580》,《暦日0》,七／,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
《1732-1590》,《暦日2》,八／,きのえね,あやふ,金,　
《1732-1600》,《暦日0》,九／,きのとのうし,なる,,　,きこ  かまぬり  つめとりよし
《1732-1610》,《暦日2》,十／,ひのえとら,おさん,火,　,ふく日 めつもん  つめとりよし
《1732-1620》,《暦日0》,十一／,ひのとのう,ひらく,,　,神よし  わたましよし
《1732-1630》,《暦日2》,十二／,つちのえたつ,とつ,木,　,五む日 くゑ日
《1732-1640》,《暦日0》,十三／,つちのとのみ,たつ,,　,●
《1732-1650》,《暦日1》,十四／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1732-1660》,《節中》,芒種五月せつさるの六刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1732-1670》,《暦日1》,十五／,かのとのひつし,のそく,土,　,大みやう  ふねのり 井ほりよし
《1732-1680》,《暦日1》,十六／,みつのえさる,みつ,金,入梅,大みやう
《1732-1690》,《食記》,月そく皆既
《1732-1700》,《暦日1》,十七／,みつのとのとり,たいら,金,　,神よし 大みやう ふく日 めつもん 地火
《1732-1710》,《暦日2》,十八／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1732-1720》,《暦日0》,十九／,きのとのい,とる,,　,ちう日  むきかり 田うへよし
《1732-1730》,《暦日2》,廿／,ひのえね,やふる,水,　,●
《1732-1740》,《暦日0》,廿一／,ひのとのうし,あやふ,,　,さい下しき 神よし 大みやう ふく日  ものたち  つめとりよし
《1732-1750》,《暦日2》,廿二／,つちのえとら,なる,土,　,きこ  みそすつくり  つめとりよし
《1732-1760》,《暦日0》,廿三／,つちのとのう,おさん,,　,大みやう ちいみ 大くわ
《1732-1770》,《暦日2》,廿四／,かのえたつ,ひらく,金,　, けんふく かといてよし
《1732-1780》,《暦日0》,廿五／,かのとのみ,とつ,,　,十し
《1732-1790》,《暦日2》,廿六／,みつのえむま,たつ,木,　,大みやう 下しきうの時
《1732-1800》,《暦日0》,廿七／,みつのとのひつし,のそく,,　,ふく日  田うへよし
《1732-1810》,《暦日2》,廿八／,きのえさる,みつ,水,十方くれニ入,神よし きしく 大みやう
《1732-1820》,《暦日0》,廿九／,きのとのとり,たいら,,　,めつもん 地火 わうまう
《1732-1830》,《節中》,夏至五月中いの三刻日の出より日入まて,昼六十刻/夜四十刻,六より六まて,昼六十五刻/夜三十五刻
《1732-1840》,《月序》,閏五月,大,隨節用之,星　日よう
《1732-1850》,《暦日2》,一／,ひのえいぬ,さたん,土,　,五む日  むきかりよし
《1732-1860》,《暦日0》,二／,ひのとのい,とる,,　,大みやう ちう日 ふく日
《1732-1870》,《暦日2》,三／,つちのえね,やふる,火,　,●
《1732-1880》,《暦日0》,四／,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
《1732-1890》,《暦日2》,五／,かのえとら,なる,木,　,きこ  井ほり  つめとりよし
《1732-1900》,《暦日0》,六／,かのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
《1732-1910》,《暦日2》,七／,みつのえたつ,ひらく,水,　,大みやう 五む日
《1732-1920》,《暦日0》,八／,みつのとのみ,とつ,,天一天上,十し
《1732-1930》,《暦日2》,九／,きのえむま,たつ,金,　,天しや よろつよし
《1732-1940》,《暦日0》,十／,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
《1732-1950》,《暦日2》,十一／,ひのえさる,みつ,火,はんけしやう,神よし  入学 いちたちよし
《1732-1960》,《暦日0》,十二／,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
《1732-1970》,《暦日2》,十三／,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
《1732-1980》,《暦日0》,十四／,つちのとのい,とる,,　,神よし ちう日
《1732-1990》,《暦日2》,十五／,かのえね,やふる,土,　,●
《1732-2000》,《暦日0》,十六／,かのとのうし,やふる,,　,十し
《1732-2010》,《節中》,小暑六月せつとらの初刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1732-2020》,《暦日2》,十七／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《1732-2030》,《暦日0》,十八／,みつのとのう,なる,,　,神よし 天火 らうしやく
《1732-2040》,《暦日2》,十九／,きのえたつ,おさん,火,　,大みやう めつもん  わたましよし
《1732-2050》,《暦日0》,廿／,きのとのみ,ひらく,,　,大みやう ちう日
《1732-2060》,《暦日2》,廿一／,ひのえむま,とつ,水,　,●
《1732-2070》,《暦日0》,廿二／,ひのとのひつし,たつ,,　,くゑ日
《1732-2080》,《暦日2》,廿三／,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
《1732-2090》,《暦日0》,廿四／,つちのとのとり,みつ,,　,神よし 大みやう ちいみ ふく日
《1732-2100》,《暦日2》,廿五／,かのえいぬ,たいら,金,初伏,大みやう 大くわ 地火
《1732-2110》,《暦日0》,廿六／,かのとのい,さたん,,　,大みやう ちう日
《1732-2120》,《暦日2》,廿七／,みつのえね,とる,木,八せんのはしめ,きしく きこ 下しきたつの時
《1732-2130》,《暦日0》,廿八／,みつのとのうし,やふる,,ま日/とようたつの一刻ニ入,十し
《1732-2140》,《暦日2》,廿九／,きのえとら,あやふ,水,　, やたて  つめとりよし
《1732-2150》,《暦日0》,卅／,きのとのう,なる,,　,神よし 天火 らうしやく
《1732-2160》,《月序》,六月,小,建,丁未,尾宿　翼　火よう
《1732-2170》,《暦日1》,一／,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
《1732-2180》,《節中》,大暑六月中たつの五刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1732-2190》,《暦日1》,二／,ひのとのみ,ひらく,土,　,くゑ日 ちう日
《1732-2200》,《暦日2》,三／,つちのえむま,とつ,火,ま日,●
《1732-2210》,《暦日0》,四／,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
《1732-2220》,《暦日2》,五／,かのえさる,のそく,木,中伏,神よし 大みやう  くさかりよし
《1732-2230》,《暦日0》,六／,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
《1732-2240》,《暦日2》,七／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《1732-2250》,《暦日0》,八／,みつのとのい,さたん,,八せんのおはり,ちう日
《1732-2260》,《暦日2》,九／,きのえね,とる,金,　,きこ わうまう 下しきたつの時
《1732-2270》,《暦日0》,十／,きのとのうし,やふる,,　,十し
《1732-2280》,《暦日2》,十一／,ひのえとら,あやふ,火,　, わたまし  つめとりよし
《1732-2290》,《暦日0》,十二／,ひのとのう,なる,,　,神よし 天火 らうしやく
《1732-2300》,《暦日2》,十三／,つちのえたつ,おさん,木,　,五む日 ふく日 めつもん
《1732-2310》,《暦日0》,十四／,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
《1732-2320》,《暦日2》,十五／,かのえむま,とつ,土,　,●
《1732-2330》,《暦日0》,十六／,かのとのひつし,とつ,,　,大みやう  ものたちよし
《1732-2340》,《節中》,立秋七月せつひつしの二刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1732-2350》,《暦日2》,十七／,みつのえさる,たつ,金,　,神よし 大みやう 下しきみの時
《1732-2360》,《暦日0》,十八／,みつのとのとり,のそく,,　,十し
《1732-2370》,《暦日2》,十九／,きのえいぬ,みつ,火,　,ふく日  くらたてよし
《1732-2380》,《暦日0》,廿／,きのとのい,たいら,,　,ちう日 めつもん 地火
《1732-2390》,《暦日2》,廿一／,ひのえね,さたん,水,　, 田かりよし
《1732-2400》,《暦日0》,廿二／,ひのとのうし,とる,,　,●
《1732-2410》,《暦日2》,廿三／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《1732-2420》,《暦日0》,廿四／,つちのとのう,あやふ,,　,大みやう わうまう  みそすつくりよし
《1732-2430》,《暦日2》,廿五／,かのえたつ,なる,金,末伏,きしく ちいみ ふく日  かといてよし
《1732-2440》,《暦日0》,廿六／,かのとのみ,おさん,,　,大くわ ちう日
《1732-2450》,《暦日2》,廿七／,みつのえむま,ひらく,木,　,神よし 大みやう 天火 らうしやく
《1732-2460》,《暦日0》,廿八／,みつのとのひつし,とつ,,　
《1732-2470》,《暦日1》,廿九／,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
《1732-2480》,《月序》,七月,大,建,戊申,箕宿　軫　水よう
《1732-2490》,《暦日1》,一／,きのとのとり,のそく,水,　,十し
《1732-2500》,《暦日1》,二／,ひのえいぬ,みつ,土,　,五む日
《1732-2510》,《節中》,処暑七月中とりの七刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1732-2520》,《暦日1》,三／,ひのとのい,たいら,土,　,大みやう ちう日 めつもん 地火
《1732-2530》,《暦日2》,四／,つちのえね,さたん,火,　, けんふく くさかりよし
《1732-2540》,《暦日0》,五／,つちのとのうし,とる,,　,●
《1732-2550》,《暦日2》,六／,かのえとら,やふる,木,　,ふく日  つめとりよし
《1732-2560》,《暦日0》,七／,かのとのう,あやふ,,　,神よし
《1732-2570》,《暦日2》,八／,みつのえたつ,なる,水,　,大みやう 五む日 ちいみ
《1732-2580》,《暦日0》,九／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《1732-2590》,《暦日2》,十／,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
《1732-2600》,《暦日0》,十一／,きのとのひつし,とつ,,　,大みやう 五む日
《1732-2610》,《暦日2》,十二／,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
《1732-2620》,《暦日0》,十三／,ひのとのとり,のそく,,二百十日,十し
《1732-2630》,《暦日2》,十四／,つちのえいぬ,みつ,木,　, くらたて かまぬりよし
《1732-2640》,《暦日0》,十五／,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
《1732-2650》,《暦日2》,十六／,かのえね,さたん,土,　,神よし ふく日
《1732-2660》,《暦日0》,十七／,かのとのうし,とる,,　,●
《1732-2670》,《暦日1》,十八／,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
《1732-2680》,《節中》,白露八月せつねの四刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《1732-2690》,《暦日1》,十九／,みつのとのう,やふる,金,　, くらたて 田かりよし
《1732-2700》,《暦日2》,廿／,きのえたつ,あやふ,火,　,大みやう  けんふく わたましよし
《1732-2710》,《暦日0》,廿一／,きのとのみ,なる,,　,十し
《1732-2720》,《暦日2》,廿二／,ひのえむま,おさん,水,　,大みやう めつもん
《1732-2730》,《暦日0》,廿三／,ひのとのひつし,ひらく,,二百廿日,●
《1732-2740》,《暦日2》,廿四／,つちのえさる,とつ,土,　,天しや よろつよし
《1732-2750》,《暦日0》,廿五／,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
