《1703-0000》,# カンマ区切りテキスト形式です。
《1703-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1703-0020》,# ・表の区画内での改行は“/”で表記します。
《1703-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1703-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1703-0050》,# 外部リンク
《1703-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546783/65 ～ 69
《1703-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1703g　(GitHub上データを表成型)
《1703-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1703h　(翻刻編集データを表成型 - 未実装)
《1703-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1703-0100》,《版元》,出版地○○,出版元□□□,　
《1703-0110》,《暦首》,元禄十六年みつのとのひつし乃貞享暦,女宿/値年,凡三百五十四日
《1703-0120》,《大歳》,大さいひつしの方,此方ニむかひて万よし/但木をきらす
《1703-0130》,《大將軍》,大しやうくんうの方,ひつしのとしまて/三年ふさかり
《1703-0140》,《大陰》,大おんみの方,此方ニむかひて/さんをせす
《1703-0150》,《歳徳》,としとくあきの方/みむまの間万よし,ねうし/,金神,/さるとり
《1703-0160》,《歳刑》,さいけううしの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1703-0170》,《歳破》,さいはうしの方,むかひてわたましせす/ふねのりはしめす,正月小,二月大,三月大
《1703-0180》,《歳煞》,さいせついぬの方,此方より/よめとらす,四月小,五月大,六月大
《1703-0190》,《黄幡》,わうはんひつしの方,むかひて/弓はしめよし,七月小,八月大,九月小
《1703-0200》,《豹尾》,へうひうしの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月小,十二月小
《1703-0210》,《月序》,正月,小,建,甲寅,胃宿値月亢宿金曜値朔日
《1703-0530》,《暦日0》,二／,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
《1703-0540》,《暦日2》,三／,つちのえとら,とつ,土,社日,天しや よろつよし
《1703-0550》,《暦日0》,四／,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
《1703-0560》,《暦日2》,五／,かのえたつ,のそく,金,　,●
《1703-0570》,《暦日0》,六／,かのとのみ,みつ,,　,十し
《1703-0580》,《暦日2》,七／,みつのえむま,たいら,木,春分二月中ひつしの五刻,神よし 大みやう 大くわ 地火
《1703-0590》,《暦日0》,八／,みつのとのひつし,さたん,,　,ちいみ
《1703-0600》,《暦日2》,九／,きのえさる,とる,水,ひかんニなる/十方くれニ入,神よし 大みやう  入学よし
《1703-0610》,《暦日0》,十／,きのとのとり,やふる,,　,ふく日
《1703-0620》,《暦日2》,十一／,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
《1703-0630》,《暦日0》,十二／,ひのとのい,なる,,　,大みやう ちう日
《1703-0640》,《暦日2》,十三／,つちのえね,おさん,火,　,めつもん  けんふく たねかしよし
《1703-0650》,《暦日0》,十四／,つちのとのうし,ひらく,,　, 井ほり  つめとりよし
《1703-0660》,《暦日2》,十五／,かのえとら,とつ,木,　,きこ  つめとりよし
《1703-0670》,《暦日0》,十六／,かのとのう,たつ,,　,ふく日 天火 らうしやく
《1703-0680》,《暦日2》,十七／,みつのえたつ,のそく,水,　,●
《1703-0690》,《暦日0》,十八／,みつのとのみ,みつ,,天一天上,十し
《1703-0700》,《暦日2》,十九／,きのえむま,たいら,金,　,神よし 大くわ 地火
《1703-0710》,《暦日0》,廿／,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
《1703-0720》,《暦日2》,廿一／,ひのえさる,とる,火,　,神よし きしく
《1703-0730》,《暦日0》,廿二／,ひのとのとり,とる,,三月せついぬの一刻ニ入,神よし  いちたちよし
《1703-0740》,《暦日2》,廿三／,つちのえいぬ,やふる,木,　,ふく日
《1703-0750》,《暦日0》,廿四／,つちのとのい,あやふ,,　,●
《1703-0760》,《暦日2》,廿五／,かのえね,なる,土,　,神よし きこ
《1703-0770》,《暦日0》,廿六／,かのとのうし,おさん,,　,十し
《1703-0780》,《暦日2》,廿七／,みつのえとら,ひらく,金,　,大みやう ちいみ  つめとりよし
《1703-0790》,《暦日0》,廿八／,みつのとのう,とつ,,　,神よし  けんふく かといてよし
《1703-0800》,《暦日2》,廿九／,きのえたつ,たつ,火,　,大みやう くゑ日
《1703-0810》,《暦日0》,卅／,きのとのみ,のそく,,　,神よし 大みやう ちう日  ふねのりよし
《1703-0820》,《月序》,三月,大,建,丙辰,畢宿　心　月よう
《1703-0830》,《暦日2》,一／,ひのえむま,みつ,水,　,神よし 大みやう 天火 らうしやく
《1703-0840》,《暦日0》,二／,ひのとのひつし,たいら,,　,神よし めつもん 地火
《1703-0850》,《暦日2》,三／,つちのえさる,さたん,土,　,くゑ日 ふく日
《1703-0860》,《暦日0》,四／,つちのとのとり,とる,,とよう夜ねの二刻ニ入,神よし 大みやう ふく日
《1703-0870》,《暦日2》,五／,かのえいぬ,やふる,金,　,大みやう
《1703-0880》,《暦日0》,六／,かのとのい,あやふ,,　,●
《1703-0890》,《暦日2》,七／,みつのえね,なる,木,八せんのはしめ,神よし きこ
《1703-0900》,《暦日0》,八／,みつのとのうし,おさん,,三月中ねの七刻/ま日,十し
《1703-0910》,《暦日2》,九／,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
《1703-0920》,《暦日0》,十／,きのとのう,とつ,,　,神よし  ものたちよし
《1703-0930》,《暦日2》,十一／,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
《1703-0940》,《暦日0》,十二／,ひのとのみ,のそく,,　,ちう日 わうまう  いちたちよし
《1703-0950》,《暦日2》,十三／,つちのえむま,みつ,火,ま日,神よし ふく日 天火 らうしやく  ふねのりよし
《1703-0960》,《暦日0》,十四／,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1703-0970》,《暦日2》,十五／,かのえさる,さたん,木,　,さい下しき 大みやう くゑ日
《1703-0980》,《暦日0》,十六／,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
《1703-0990》,《暦日2》,十七／,みつのえいぬ,やふる,水,ま日
《1703-1000》,《暦日0》,十八／,みつのとのい,あやふ,,八十八や/八せんのおはり,●
《1703-1010》,《暦日2》,十九／,きのえね,なる,金,　,きしく くゑ日 きこ
《1703-1020》,《暦日0》,廿／,きのとのうし,おさん,,　,十し
《1703-1030》,《暦日2》,廿一／,ひのえとら,ひらく,火,　,くゑ日 ちいみ
《1703-1040》,《暦日0》,廿二／,ひのとのう,とつ,,　,くゑ日  たねまきよし
《1703-1050》,《暦日2》,廿三／,つちのえたつ,とつ,木,立夏四月せつうの三刻ニ入,五む日 くゑ日
《1703-1060》,《暦日0》,廿四／,つちのとのみ,たつ,,　,●
《1703-1070》,《暦日2》,廿五／,かのえむま,のそく,土,　,神よし  さひらき みそすつくりよし
《1703-1080》,《暦日0》,廿六／,かのとのひつし,みつ,,　,大みやう くゑ日
《1703-1090》,《暦日2》,廿七／,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
《1703-1100》,《暦日0》,廿八／,みつのとのとり,さたん,,　,十し
《1703-1110》,《暦日2》,廿九／,きのえいぬ,とる,火,　, やたて くらたてよし
《1703-1120》,《暦日0》,卅／,きのとのい,やふる,,　,ちう日 わうまう
《1703-1130》,《月序》,四月,小,建,丁巳,觜宿　箕　水よう
《1703-1140》,《暦日2》,一／,ひのえね,あやふ,水,　,ふく日  さひらきよし
《1703-1150》,《暦日0》,二／,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
《1703-1160》,《暦日2》,三／,つちのえとら,おさん,土,　,めつもん  たねまき  つめとりよし
《1703-1170》,《暦日0》,四／,つちのとのう,ひらく,,　,神よし 大みやう  入学よし
《1703-1180》,《暦日2》,五／,かのえたつ,とつ,金,　, けんふくよし
《1703-1190》,《暦日0》,六／,かのとのみ,たつ,,　,●
《1703-1200》,《暦日2》,七／,みつのえむま,のそく,木,　,神よし 大みやう ふく日
《1703-1210》,《暦日0》,八／,みつのとのひつし,みつ,,四月中むまの初刻,くゑ日
《1703-1220》,《暦日2》,九／,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
《1703-1230》,《暦日0》,十／,きのとのとり,さたん,,　,十し
《1703-1240》,《暦日2》,十一／,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
《1703-1250》,《暦日0》,十二／,ひのとのい,やふる,,　,大みやう ちう日
《1703-1260》,《暦日2》,十三／,つちのえね,あやふ,火,　, けんふくよし
《1703-1270》,《暦日0》,十四／,つちのとのうし,なる,,　,きこ  つめとりよし
《1703-1280》,《暦日2》,十五／,かのえとら,おさん,木,　,めつもん  さひらき  つめとりよし
《1703-1290》,《暦日0》,十六／,かのとのう,ひらく,,　,神よし  やたて ものたちよし
《1703-1300》,《暦日2》,十七／,みつのえたつ,とつ,水,　,きしく 大みやう 五む日 ふく日
《1703-1310》,《暦日0》,十八／,みつのとのみ,たつ,,天一天上,●
《1703-1320》,《暦日2》,十九／,きのえむま,のそく,金,　,天しや よろつよし
《1703-1330》,《暦日0》,廿／,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
《1703-1340》,《暦日2》,廿一／,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
《1703-1350》,《暦日0》,廿二／,ひのとのとり,さたん,,　,十し
《1703-1360》,《暦日2》,廿三／,つちのえいぬ,さたん,木,五月せつさるの五刻ニ入, かまぬり 田うへよし
《1703-1370》,《暦日0》,廿四／,つちのとのい,とる,,　,神よし ちう日
《1703-1380》,《暦日2》,廿五／,かのえね,やふる,土,　,●
《1703-1390》,《暦日0》,廿六／,かのとのうし,あやふ,,　,神よし 五む日  つめとりよし
《1703-1400》,《暦日2》,廿七／,みつのえとら,なる,金,入梅,大みやう きこ  くさかり  つめとりよし
《1703-1410》,《暦日0》,廿八／,みつのとのう,おさん,,　,ちいみ 大くわ ふく日
《1703-1420》,《暦日1》,廿九／,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
《1703-1430》,《月序》,五月,大,建,戊午,參宿　斗　木よう
《1703-1440》,《暦日1》,一／,きのとのみ,とつ,火,　,十し
《1703-1450》,《暦日2》,二／,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
《1703-1460》,《暦日0》,三／,ひのとのひつし,のそく,,　,神よし ふく日
《1703-1470》,《暦日2》,四／,つちのえさる,みつ,土,　,神よし  入学よし
《1703-1480》,《暦日0》,五／,つちのとのとり,たいら,,　,神よし 大みやう めつもん 地火
《1703-1490》,《暦日2》,六／,かのえいぬ,さたん,金,　,大みやう  かといてよし
《1703-1500》,《暦日0》,七／,かのとのい,とる,,　,神よし 大みやう ちう日  入学よし
《1703-1510》,《暦日2》,八／,みつのえね,やふる,木,八せんのはしめ,●
《1703-1520》,《暦日0》,九／,みつのとのうし,あやふ,,夏至五月中いの二刻/ま日,ふく日 わうまう  むきかり  つめとりよし
《1703-1530》,《暦日2》,十／,きのえとら,なる,水,　,きこ  田うへ  つめとりよし
《1703-1540》,《暦日0》,十一／,きのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
《1703-1550》,《暦日2》,十二／,ひのえたつ,ひらく,土,ま日,大みやう  けんふく いちたちよし
《1703-1560》,《暦日0》,十三／,ひのとのみ,とつ,,　,十し
《1703-1570》,《暦日2》,十四／,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
《1703-1580》,《暦日0》,十五／,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
《1703-1590》,《暦日2》,十六／,かのえさる,みつ,木,　,さい下しき 神よし きしく 大みやう  入学 むきかりよし
《1703-1600》,《暦日0》,十七／,かのとのとり,たいら,,　,神よし 大みやう めつもん 地火
《1703-1610》,《暦日2》,十八／,みつのえいぬ,さたん,水,ま日, むきかりよし
《1703-1620》,《暦日0》,十九／,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
《1703-1630》,《暦日2》,廿／,きのえね,やふる,金,はんけしやう,●
《1703-1640》,《暦日0》,廿一／,きのとのうし,あやふ,,　,神よし  つめとりよし
《1703-1650》,《暦日2》,廿二／,ひのえとら,なる,火,　,きこ  つめとりよし
《1703-1660》,《暦日0》,廿三／,ひのとのう,おさん,,　,ちいみ 大くわ ふく日
《1703-1670》,《暦日2》,廿四／,つちのえたつ,ひらく,木,　,五む日  かまぬり 田うへよし
《1703-1680》,《暦日0》,廿五／,つちのとのみ,ひらく,,六月せつうしの七刻ニ入,くゑ日 ちう日 ふく日
《1703-1690》,《暦日2》,廿六／,かのえむま,とつ,土,　,●
《1703-1700》,《暦日0》,廿七／,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
《1703-1710》,《暦日2》,廿八／,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
《1703-1720》,《暦日0》,廿九／,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
《1703-1730》,《暦日1》,卅／,きのえいぬ,たいら,火,　,大くわ 地火  わたましよし
《1703-1740》,《月序》,六月,大,建,己未,井宿　女　土よう
《1703-1750》,《暦日1》,一／,きのとのい,さたん,火,　,ちう日
《1703-1760》,《暦日2》,二／,ひのえね,とる,水,　,きこ 下しきたつの時
《1703-1770》,《暦日0》,三／,ひのとのうし,やふる,,　,十し
《1703-1780》,《暦日2》,四／,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
《1703-1790》,《暦日0》,五／,つちのとのう,なる,,　,神よし 大みやう ふく日 天火 らうしやく
《1703-1800》,《暦日2》,六／,かのえたつ,おさん,金,初伏,めつもん  けんふくよし
《1703-1810》,《暦日0》,七／,かのとのみ,ひらく,,とようたつの初刻ニ入,ちう日  ものたちよし
《1703-1820》,《暦日2》,八／,みつのえむま,とつ,木,　,●
《1703-1830》,《暦日0》,九／,みつのとのひつし,たつ,,　, たねまきよし
《1703-1840》,《暦日2》,十／,きのえさる,のそく,水,六月中たつの四刻/十方くれニ入,神よし 大みやう
《1703-1850》,《暦日0》,十一／,きのとのとり,みつ,,　,神よし ちいみ
《1703-1860》,《暦日2》,十二／,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
《1703-1870》,《暦日0》,十三／,ひのとのい,さたん,,　,大みやう ちう日
《1703-1880》,《暦日2》,十四／,つちのえね,とる,火,　,きしく きこ ふく日 下しきたつの時
《1703-1890》,《暦日0》,十五／,つちのとのうし,やふる,,　,十し
《1703-1900》,《暦日2》,十六／,かのえとら,あやふ,木,中伏, やたて  つめとりよし
《1703-1910》,《暦日0》,十七／,かのとのう,なる,,　,神よし 天火 らうしやく
《1703-1920》,《暦日2》,十八／,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん わうまう
《1703-1930》,《暦日0》,十九／,みつのとのみ,ひらく,,天一天上,ちう日  いちたちよし
《1703-1940》,《暦日2》,廿／,きのえむま,とつ,金,　,●
《1703-1950》,《暦日0》,廿一／,きのとのひつし,たつ,,　,大みやう 五む日
《1703-1960》,《暦日2》,廿二／,ひのえさる,のそく,火,　,神よし
《1703-1970》,《暦日0》,廿三／,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
《1703-1980》,《暦日2》,廿四／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《1703-1990》,《暦日0》,廿五／,つちのとのい,たいら,,立秋七月せつひつしの一刻ニ入,神よし ちう日 めつもん 地火
《1703-2000》,《暦日2》,廿六／,かのえね,さたん,土,末伏,神よし ふく日
《1703-2010》,《暦日0》,廿七／,かのとのうし,とる,,　,●
《1703-2020》,《暦日2》,廿八／,みつのえとら,やふる,金,　,大みやう  やたて  つめとりよし
《1703-2030》,《暦日0》,廿九／,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
《1703-2040》,《暦日1》,卅／,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
《1703-2050》,《月序》,七月,小,建,庚申,鬼宿　危　月よう
《1703-2060》,《暦日1》,一／,きのとのみ,おさん,火,　,神よし 大みやう 大くわ ちう日  けんふくよし
《1703-2070》,《暦日2》,二／,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
《1703-2080》,《暦日0》,三／,ひのとのひつし,とつ,,　,わうまう  いちたちよし
《1703-2090》,《暦日2》,四／,つちのえさる,たつ,土,　,天しや よろつよし
《1703-2100》,《暦日0》,五／,つちのとのとり,のそく,,　,十し
《1703-2110》,《暦日2》,六／,かのえいぬ,みつ,金,　,大みやう ふく日
《1703-2120》,《暦日0》,七／,かのとのい,たいら,,　,神よし 大みやう ちう日 めつもん 地火
《1703-2130》,《暦日2》,八／,みつのえね,さたん,木,八せんのはしめ,神よし  くらたてよし
《1703-2140》,《暦日0》,九／,みつのとのうし,とる,,ま日,●
《1703-2150》,《暦日2》,十／,きのえとら,やふる,水,七月中とりの六刻,ふく日  かといて  つめとりよし
《1703-2160》,《暦日0》,十一／,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
《1703-2170》,《暦日2》,十二／,ひのえたつ,なる,土,ま日,きしく 大みやう ちいみ  くさかりよし
《1703-2180》,《暦日0》,十三／,ひのとのみ,おさん,,　,大くわ ちう日  ものたちよし
《1703-2190》,《暦日2》,十四／,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
《1703-2200》,《暦日0》,十五／,つちのとのひつし,とつ,,　,神よし 大みやう  みそすつくりよし
《1703-2210》,《暦日2》,十六／,かのえさる,たつ,木,　,さい下しき 大みやう くゑ日 ふく日 下しきみの時
《1703-2220》,《暦日0》,十七／,かのとのとり,のそく,,　,十し
《1703-2230》,《暦日2》,十八／,みつのえいぬ,みつ,水,ま日
《1703-2240》,《暦日0》,十九／,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
《1703-2250》,《暦日2》,廿／,きのえね,さたん,金,　,ふく日  ふねのりよし
《1703-2260》,《暦日0》,廿一／,きのとのうし,とる,,二百十日,●
《1703-2270》,《暦日2》,廿二／,ひのえとら,やふる,火,　, けんふく  つめとりよし
《1703-2280》,《暦日0》,廿三／,ひのとのう,あやふ,,　,神よし  わたましよし
《1703-2290》,《暦日2》,廿四／,つちのえたつ,なる,木,　,五む日 ちいみ  いちたちよし
《1703-2300》,《暦日0》,廿五／,つちのとのみ,なる,,八月せつ夜ねの三刻ニ入,十し
《1703-2310》,《暦日2》,廿六／,かのえむま,おさん,土,　,めつもん  竹木こりよし
《1703-2320》,《暦日0》,廿七／,かのとのひつし,ひらく,,　,●
《1703-2330》,《暦日2》,廿八／,みつのえさる,とつ,金,　,神よし 大みやう
《1703-2340》,《暦日0》,廿九／,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
《1703-2350》,《月序》,八月,大,建,辛酉,柳宿　室　火よう
《1703-2360》,《暦日2》,一／,きのえいぬ,のそく,火,　,ちいみ  竹木こりよし
《1703-2370》,《暦日0》,二／,きのとのい,みつ,,二百廿日,ちう日 ふく日  入学よし
《1703-2380》,《暦日2》,三／,ひのえね,たいら,水,　,大くわ 地火
《1703-2390》,《暦日0》,四／,ひのとのうし,さたん,,　,神よし 大みやう  ものたち  つめとりよし
《1703-2400》,《暦日2》,五／,つちのえとら,とる,土,　,きこ  田かり  つめとりよし
《1703-2410》,《暦日0》,六／,つちのとのう,やふる,,　,大みやう
《1703-2420》,《暦日2》,七／,かのえたつ,あやふ,金,　
《1703-2430》,《暦日0》,八／,かのとのみ,なる,,　,十し
《1703-2440》,《暦日2》,九／,みつのえむま,おさん,木,　,大みやう めつもん
《1703-2450》,《暦日0》,十／,みつのとのひつし,ひらく,,　,●
《1703-2460》,《暦日2》,十一／,きのえさる,とつ,水,十方くれニ入,神よし きしく 大みやう  竹木こり 田かりよし
《1703-2470》,《暦日0》,十二／,きのとのとり,たつ,,秋分八月中うの初刻,ふく日 天火 らうしやく 下しきむまの時
《1703-2480》,《暦日2》,十三／,ひのえいぬ,のそく,土,　,五む日 ちいみ わうまう
《1703-2490》,《暦日0》,十四／,ひのとのい,みつ,,ひかんニなる,大みやう ちう日  入学よし
《1703-2500》,《暦日2》,十五／,つちのえね,たいら,火,社日,大くわ 地火
《1703-2510》,《暦日0》,十六／,つちのとのうし,さたん,,　, かまぬり  つめとりよし
《1703-2520》,《暦日2》,十七／,かのえとら,とる,木,　,きこ  つめとりよし
《1703-2530》,《暦日0》,十八／,かのとのう,やふる,,　,ふく日  田かりよし
《1703-2540》,《暦日2》,十九／,みつのえたつ,あやふ,水,　,大みやう 五む日
《1703-2550》,《暦日0》,廿／,みつのとのみ,なる,,天一天上,十し
《1703-2560》,《暦日2》,廿一／,きのえむま,おさん,金,　,めつもん
《1703-2570》,《暦日0》,廿二／,きのとのひつし,ひらく,,　,●
《1703-2580》,《暦日2》,廿三／,ひのえさる,とつ,火,　,神よし
《1703-2590》,《暦日0》,廿四／,ひのとのとり,たつ,,　,天火 らうしやく 下しきむまの時
《1703-2600》,《暦日2》,廿五／,つちのえいぬ,のそく,木,　,ちいみ  ふねのり 田かりよし
《1703-2610》,《暦日0》,廿六／,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
《1703-2620》,《暦日2》,廿七／,かのえね,みつ,土,かん露九月せつみの五刻ニ入,神よし きこ 天火 らうしやく
《1703-2630》,《暦日0》,廿八／,かのとのうし,たいら,,　,十し
《1703-2640》,《暦日2》,廿九／,みつのえとら,さたん,金,　,●
《1703-2650》,《暦日0》,卅／,みつのとのう,とる,,　,神よし  けんふく かといてよし
《1703-2660》,《月序》,九月,小,建,壬戌,星宿　奎　木よう
《1703-2670》,《暦日2》,一／,きのえたつ,やふる,火,　,大みやう
《1703-2680》,《暦日0》,二／,きのとのみ,あやふ,,　,神よし 大みやう ちいみ ちう日 下しきひつしの時
《1703-2690》,《暦日2》,三／,ひのえむま,なる,水,　,神よし 大みやう  いちたちよし
《1703-2700》,《暦日0》,四／,ひのとのひつし,おさん,,　,神よし 大くわ  田かりよし
《1703-2710》,《暦日2》,五／,つちのえさる,ひらく,土,　,天しや よろつよし
《1703-2720》,《暦日0》,六／,つちのとのとり,とつ,,　,神よし 大みやう ふく日  たねまきよし
《1703-2730》,《暦日2》,七／,かのえいぬ,たつ,金,　,大みやう くゑ日
《1703-2740》,《暦日0》,八／,かのとのい,のそく,,　,神よし 大みやう ちう日  田かりよし
《1703-2750》,《暦日2》,九／,みつのえね,みつ,木,八せんのはしめ/とようひつしの六刻ニ入,神よし きしく きこ 天火 らうしやく
《1703-2760》,《暦日0》,十／,みつのとのうし,たいら,,ま日,十し
《1703-2770》,《暦日2》,十一／,きのえとら,さたん,水,　,●
